row_id,sender,time,amount,card_tail,balance,text
24813,10691617995558,2025-09-11T09:30:53.745577+08:00,9.0,,,【中信银行】尊敬的客户，诚邀您参加中信银行厦门分行举办的“个人境外收入税务风险及企业税务风险防范与应对”沙龙活动，时间：9月12日14:30，地址：中信银行厦门分行私人银行中心。详询95558或您的专属客户经理宋博13806050533。拒收请回复R
24788,106867545102926,2025-09-11T17:35:50.044391+08:00,,,,【厦门医学院附属口腔医院】温馨提醒，尊敬的郑*群，您好！厦门市公立医疗机构门诊预交金正在进行全面清退，您在我院办理的临时就诊卡仍有余额，请关注我院微信服务号线上申请退款或携带就诊卡、身份证等有效证件前往我院任一院区（蔡塘、斗西、集美）收费窗口办理退款。如您已使用或已退款，请忽略此短信。
24710,10086,2025-09-12T08:16:51.633321+08:00,100.0,,9.0,【充值提醒】尊敬的全球通客户，您可以通过中国移动手机营业厅 https://dx.10086.cn/A/9BReDw 随时随地查询话费余额。您于09月12日08时16分缴费成功100.00元，当前账户总余额为37.97元，其中通用余额为37.97元，截至当前欠费0.00元，如遇月初下账期，余额变动较快，您也可拨打1008611进行余额查询。若您交清费用后仍无法上网或接打电话，请关开机后再使用。心级服务，期待您的10分满意！【中国移动】
24794,10686262900013100129,2025-09-12T11:49:47.032773+08:00,9.0,,,【随星借】系统将于9月15日自动还款5272.32元，请确保工商银行(2606)余额充足，感谢您的支持。
24696,10686262900013100129,2025-09-14T11:49:38.099914+08:00,9.0,,,【随星借】系统将于9月15日自动还款5275.92元，请确保工商银行(2606)余额充足，感谢您的支持。
24719,1069287307540,2025-09-15T06:22:06.570654+08:00,202.0,,49.83,【腾讯云】尊敬的腾讯云用户，截至2025-09-15 06:22:00，您的账号（创建者账号ID：285*****，昵称：卡若）余额为49.83元，低于您设置的余额预警阈值。账户欠费后，您名下的按量计费资源将停止服务，请您及时充值或注意备份数据，以免影响云资源的正常使用。您可点击：https://mc.tencent.com/u2LKtQTd 进行充值。
24841,9555801,2025-09-15T13:01:03.821588+08:00,202.0,,,【中信银行】尊敬的客户您好！贵单位*归喜数字*2025年08月（电子/纸质）账单已生成，请及时回签，如遇操作问题，请联系开户行咨询。如已回签，请忽略此条短信。
24843,1069287307540,2025-09-16T09:45:16.488242+08:00,285.0,,1.0,"【腾讯云】尊敬的用户，您的账号（账号ID：285*****，昵称：卡若） 设置为自动续费的资源，由于账户余额不足无法进行自动续费：
[即将到期]1个资源将在7天内到期：云服务器CVM（1），请保证余额充足，届时腾讯云将为您自动续费；
截止北京时间2025 - 09 - 16 09:22:12，当前账户余额37.67元，建议充值329.13元，余额充足时，将为您自动续费，充值请前往 https://mc.tencent.com/YdFAA8uN 
。
未设置自动续费的资源中：
[即将停服]1个资源将在1天内停服：云服务器CVM（1），停服后资源无法继续使用；
续费请前往 https://mc.tencent.com/1V4z2KCj，如您已续费，请忽略该通知。 详情请查看站内信。"
24807,1069287307540,2025-09-16T10:03:31.012739+08:00,202.0,,37.57,【腾讯云】尊敬的腾讯云用户，截至2025-09-16 10:03:25，您的账号（创建者账号ID：285*****，昵称：卡若）余额为37.57元，低于您设置的余额预警阈值。账户欠费后，您名下的按量计费资源将停止服务，请您及时充值或注意备份数据，以免影响云资源的正常使用。您可点击：https://mc.tencent.com/u2LKtQTd 进行充值。
24762,1069287307540,2025-09-17T10:04:34.824579+08:00,202.0,,29.3,【腾讯云】尊敬的腾讯云用户，截至2025-09-17 10:04:29，您的账号（创建者账号ID：285*****，昵称：卡若）余额为29.30元，低于您设置的余额预警阈值。账户欠费后，您名下的按量计费资源将停止服务，请您及时充值或注意备份数据，以免影响云资源的正常使用。您可点击：https://mc.tencent.com/u2LKtQTd 进行充值。
24792,1069287307540,2025-09-17T11:35:46.618854+08:00,285.0,,1.0,"【腾讯云】尊敬的用户，您的账号（账号ID：285*****，昵称：卡若） 设置为自动续费的资源，由于账户余额不足无法进行自动续费：
[即将到期]1个资源将在7天内到期：云服务器CVM（1），请保证余额充足，届时腾讯云将为您自动续费；
截止北京时间2025 - 09 - 17 11:00:25，当前账户余额28.97元，建议充值337.83元，余额充足时，将为您自动续费，充值请前往 https://mc.tencent.com/YdFAA8uN 
，如您已续费，请忽略该通知。
未设置自动续费的资源中：
[即将释放]1个资源已停服：云服务器CVM（1），资源即将释放，释放前可在回收站找回资源，资源释放后数据无法找回； 详情请查看站内信。"
24758,1069287307540,2025-09-18T10:05:14.097207+08:00,202.0,,20.84,【腾讯云】尊敬的腾讯云用户，截至2025-09-18 10:05:08，您的账号（创建者账号ID：285*****，昵称：卡若）余额为20.84元，低于您设置的余额预警阈值。账户欠费后，您名下的按量计费资源将停止服务，请您及时充值或注意备份数据，以免影响云资源的正常使用。您可点击：https://mc.tencent.com/u2LKtQTd 进行充值。
24730,9555801,2025-09-18T19:04:34.521441+08:00,40.0,0405,64.54,【中信银行】贵公司尾号0405的中信账号于09月18日19:04，二代支付支出人民币99.00元，当前余额为人民币64.54元，对方户名：吉咪宇，对方账户尾号：4354。
24742,1069287307540,2025-09-19T10:05:33.165855+08:00,202.0,,5.6,【腾讯云】尊敬的腾讯云用户，截至2025-09-19 10:05:22，您的账号（创建者账号ID：285*****，昵称：卡若）余额为5.60元，低于您设置的余额预警阈值。账户欠费后，您名下的按量计费资源将停止服务，请您及时充值或注意备份数据，以免影响云资源的正常使用。您可点击：https://mc.tencent.com/u2LKtQTd 进行充值。
