start	end	text
0	1000	我看你不太好
1000	2000	我看你不太好
2000	3000	我看你不太好
3000	4000	我看你不太好
4000	5000	我看你不太好
5000	6000	我看你不太好
6000	7000	我看你不太好
7000	8000	我看你不太好
8000	9000	我看你不太好
9000	10000	我看你不太好
10000	11000	我看你不太好
11000	12000	我看你不太好
12000	13000	我看你不太好
13000	14000	我看你不太好
14000	15000	我看你不太好
15000	16000	我看你不太好
16000	17000	我看你不太好
17000	18000	我看你不太好
18000	19000	我看你不太好
19000	20000	我看你不太好
20000	21000	我看你不太好
21000	22000	我看你不太好
22000	23000	我看你不太好
23000	24000	我看你不太好
24000	25000	我看你不太好
25000	26000	我看你不太好
26000	27000	我看你不太好
27000	28000	我看你不太好
30000	31000	我看你不太好
31000	32000	我看你不太好
32000	33000	我看你不太好
33000	34000	我看你不太好
34000	35000	我看你不太好
35000	36000	我看你不太好
36000	37000	我看你不太好
37000	38000	我看你不太好
38000	39000	我看你不太好
39000	40000	我看你不太好
40000	41000	我看你不太好
41000	42000	我看你不太好
42000	43000	我看你不太好
43000	44000	我看你不太好
44000	45000	我看你不太好
45000	46000	我看你不太好
46000	47000	我看你不太好
47000	48000	我看你不太好
48000	49000	我看你不太好
49000	50000	我看你不太好
50000	51000	我看你不太好
51000	52000	我看你不太好
52000	53000	我看你不太好
53000	54000	我看你不太好
54000	55000	我看你不太好
55000	56000	我看你不太好
56000	57000	我看你不太好
57000	58000	我看你不太好
58000	59000	我看你不太好
59000	60000	我看你不太好
60000	61000	我看你不太好
61000	62000	我看你不太好
62000	63000	我看你不太好
63000	64000	我看你不太好
64000	65000	我看你不太好
65000	66000	我看你不太好
66000	67000	我看你不太好
67000	68000	我看你不太好
68000	69000	我看你不太好
69000	70000	我看你不太好
70000	71000	我看你不太好
71000	72000	我看你不太好
72000	73000	我看你不太好
73000	74000	我看你不太好
74000	75000	我看你不太好
75000	76000	我看你不太好
76000	77000	我看你不太好
77000	78000	我看你不太好
78000	79000	我看你不太好
79000	80000	我看你不太好
80000	81000	我看你不太好
81000	82000	我看你不太好
82000	83000	我看你不太好
83000	84000	我看你不太好
84000	85000	我看你不太好
85000	86000	我看你不太好
86000	87000	我看你不太好
87000	88000	我看你不太好
88000	89000	我看你不太好
89000	90000	我看你不太好
90000	91000	我看你不太好
91000	92000	我看你不太好
92000	93000	我看你不太好
93000	94000	我看你不太好
94000	95000	我看你不太好
95000	96000	我看你不太好
96000	97000	我看你不太好
97000	98000	我看你不太好
98000	99000	我看你不太好
99000	100000	我看你不太好
100000	101000	我看你不太好
101000	102000	我看你不太好
102000	103000	我看你不太好
103000	104000	我看你不太好
104000	105000	我看你不太好
105000	106000	我看你不太好
106000	107000	我看你不太好
107000	108000	我看你不太好
108000	109000	我看你不太好
109000	110000	我看你不太好
110000	111000	我看你不太好
111000	112000	我看你不太好
112000	113000	我看你不太好
113000	114000	我看你不太好
114000	115000	我看你不太好
115000	116000	我看你不太好
116000	117000	我看你不太好
117000	118000	我看你不太好
118000	119000	我看你不太好
119000	120000	我看你不太好
120000	121000	我看你不太好
121000	122000	我看你不太好
122000	123000	我看你不太好
123000	124000	我看你不太好
124000	125000	我看你不太好
125000	126000	我看你不太好
126000	127000	我看你不太好
127000	128000	我看你不太好
128000	129000	我看你不太好
129000	130000	我看你不太好
130000	131000	我看你不太好
131000	132000	我看你不太好
132000	133000	我看你不太好
133000	134000	我看你不太好
134000	135000	我看你不太好
135000	136000	我看你不太好
136000	137000	我看你不太好
137000	138000	我看你不太好
138000	139000	我看你不太好
168000	178000	我看了一下那个TRAI还是差很多的
182000	183000	比性吗
183000	184000	国产和国产
185000	186000	对
186000	188000	真没有可比性
188000	189000	它太多了
189000	194000	我刚刚试了一下那个TRAI的东西
195000	197000	还得用Curse试试
199000	202000	当然TRAI已经勉强可以吧
202000	204000	就是你给的指定要很清楚
207000	208000	我记得当他在
208000	212000	对他自己的研发的一个怎么说啊
213000	215000	他可能更偏向于做
216000	217000	对
217000	219000	做其他的怎么讲
219000	220000	编程
222000	223000	也不是
224000	226000	除了勉强可以
226000	229000	需要有有微的那张图来写助理解
229000	231000	不然他剪出来很垃圾
232000	233000	明白
234000	237000	因为我在派对基本不会讲这些东西
237000	238000	因为讲这些
238000	240000	第一个大家听不懂
240000	241000	脑子没画面
243000	244000	一点不大
244000	245000	对
245000	246000	这个他们做不了
247000	249000	所以我们尽可能都是
249000	251000	讲一些大家能听得懂的话
251000	252000	讲能话
254000	255000	讲人话
256000	258000	接地气的是吧
