# 设备目标配置文件
# 作者：卡若
# 日期：$(date +%Y-%m-%d)
# 格式：设备名称,IP地址,端口,设备类型,品牌,型号,Android版本,备注,状态
# 说明：用于批量管理多个设备的微信安装

# ==================== 配置说明 ====================
# 设备名称：设备的友好名称，用于识别
# IP地址：设备在局域网中的IP地址
# 端口：ADB连接端口，通常为5555
# 设备类型：phone(手机), tablet(平板), tv(电视), other(其他)
# 品牌：设备品牌（xiaomi, huawei, oppo, vivo, samsung, oneplus等）
# 型号：具体设备型号
# Android版本：Android系统版本号
# 备注：额外说明信息
# 状态：active(活跃), inactive(非活跃), maintenance(维护中)

# ==================== 示例配置 ====================
设备名称,IP地址,端口,设备类型,品牌,型号,Android版本,备注,状态
测试机1,192.168.1.100,5555,phone,xiaomi,Mi 11,12,开发测试用,active
测试机2,192.168.1.101,5555,phone,huawei,P40 Pro,10,UI测试用,active
办公机,192.168.1.102,5555,phone,oppo,Find X3,11,办公使用,active
备用机,192.168.1.103,5555,phone,vivo,X60,11,备用设备,inactive
演示机,192.168.1.104,5555,tablet,samsung,Galaxy Tab S7,11,演示用平板,active

# ==================== 生产环境示例 ====================
# 生产环境设备配置（请根据实际情况修改）
# 主力机,192.168.1.110,5555,phone,xiaomi,Mi 12 Pro,13,主要工作设备,active
# 副机1,192.168.1.111,5555,phone,huawei,Mate 40,11,副机设备,active
# 副机2,192.168.1.112,5555,phone,oppo,Reno 8,12,副机设备,active
# 测试机,192.168.1.113,5555,phone,vivo,S15,12,功能测试,active
# 平板,192.168.1.114,5555,tablet,xiaomi,Pad 5,11,大屏操作,active

# ==================== 特殊配置示例 ====================
# 高端设备配置
# 旗舰机,192.168.1.120,5555,phone,samsung,Galaxy S23 Ultra,13,高性能设备,active
# 折叠屏,192.168.1.121,5555,phone,huawei,Mate X3,12,折叠屏测试,active

# 低端设备配置
# 入门机,192.168.1.130,5555,phone,redmi,Note 11,11,低配置测试,active
# 老设备,192.168.1.131,5555,phone,xiaomi,Mi 8,9,兼容性测试,maintenance

# 特殊用途设备
# 录屏机,192.168.1.140,5555,phone,oneplus,9 Pro,12,专用录屏,active
# 直播机,192.168.1.141,5555,phone,iqoo,Neo 6,12,直播推流,active

# ==================== 网络配置说明 ====================
# 1. 确保所有设备都在同一局域网内
# 2. 设备需要开启开发者选项和USB调试
# 3. 建议为设备设置静态IP地址
# 4. 防火墙需要允许ADB端口通信

# ==================== 批量操作说明 ====================
# 使用此配置文件可以进行批量操作：
# 1. 批量环境检测：./install/01_check_env.sh --batch config/targets.csv
# 2. 批量下载APK：./install/02_download_apk.sh --batch
# 3. 批量安装：./install/03_install_apk.sh --batch config/targets.csv
# 4. 批量验证：./install/04_verify_app.sh --batch config/targets.csv
# 5. 批量故障处理：./install/05_troubleshoot.sh --batch config/targets.csv

# ==================== 状态管理 ====================
# active：设备正常，可以进行操作
# inactive：设备暂时不可用，跳过操作
# maintenance：设备维护中，仅进行检测不执行操作
# error：设备出现错误，需要人工处理
# unknown：设备状态未知，需要检测

# ==================== 设备分组 ====================
# 可以通过备注字段进行设备分组：
# - group:production（生产组）
# - group:testing（测试组）
# - group:development（开发组）
# - group:demo（演示组）

# ==================== 自动发现配置 ====================
# 支持自动发现局域网内的Android设备
# 发现的设备会自动添加到此文件中
# 自动发现命令：./tools/discover_devices.sh

# ==================== 配置验证 ====================
# 配置文件会在加载时进行验证：
# 1. IP地址格式检查
# 2. 端口范围检查（1-65535）
# 3. 设备类型有效性检查
# 4. 状态值有效性检查

# ==================== 备份建议 ====================
# 1. 定期备份此配置文件
# 2. 版本控制管理配置变更
# 3. 生产环境配置单独管理
# 4. 敏感信息加密存储

# ==================== 扩展字段 ====================
# 如需添加更多字段，请在末尾添加：
# 例如：MAC地址,序列号,负责人,购买日期等

# ==================== 使用技巧 ====================
# 1. 使用Excel或类似工具编辑大量设备配置
# 2. 通过脚本自动生成配置文件
# 3. 结合监控系统实时更新设备状态
# 4. 定期清理无效设备配置

# ==================== 故障排除 ====================
# 如果设备无法连接：
# 1. 检查IP地址是否正确
# 2. 确认设备开启了ADB调试
# 3. 检查网络连通性
# 4. 验证端口是否被占用
# 5. 重启ADB服务

# 配置文件版本：1.0.0
# 最后更新：$(date +%Y-%m-%d %H:%M:%S)
